x,y,yaw
-4.869203186035156250e+01,1.243473911285400391e+01,2.043248414993286133e+00
-4.878298187255859375e+01,1.261281585693359375e+01,2.042729616165161133e+00
-4.887384033203125000e+01,1.279094219207763672e+01,2.042236089706420898e+00
-4.896461486816406250e+01,1.296910858154296875e+01,2.041767835617065430e+00
-4.905530548095703125e+01,1.314731979370117188e+01,2.041325092315673828e+00
-4.914592361450195312e+01,1.332556819915771484e+01,2.040907621383666992e+00
-4.923646545410156250e+01,1.350385189056396484e+01,2.040515422821044922e+00
-4.932694244384765625e+01,1.368217277526855469e+01,2.040148496627807617e+00
-4.941735458374023438e+01,1.386052322387695312e+01,2.039807081222534180e+00
-4.950770568847656250e+01,1.403890514373779297e+01,2.039490699768066406e+00
-4.959800720214843750e+01,1.421731376647949219e+01,2.039199590682983398e+00
-4.968825531005859375e+01,1.439574623107910156e+01,2.038933992385864258e+00
-4.977846145629882812e+01,1.457420539855957031e+01,2.038693428039550781e+00
-4.986862564086914062e+01,1.475268077850341797e+01,2.038478136062622070e+00
